ModifyDate,AbsoluteAltitude,GPSLatitude,GPSLongitude
2022:06:18 08:17:52,+3333.91,4.52539022222222,-73.7733526666667
2022:06:18 08:18:03,+3334.33,4.52539725,-73.7733382777778
2022:06:18 08:18:11,+3332.16,4.52543627777778,-73.7732663888889
2022:06:18 08:18:18,+3329.79,4.52548547222222,-73.7732058888889
2022:06:18 08:18:22,+3329.79,4.52551586111111,-73.7731865555556
2022:06:18 08:18:26,+3329.60,4.52556380555556,-73.7731611666667
2022:06:18 08:18:31,+3326.34,4.52561538888889,-73.7731358333333
2022:06:18 08:18:36,+3324.73,4.52565958333333,-73.7731141666667
2022:06:18 08:18:46,+3323.13,4.52575444444444,-73.7730590833333
2022:06:18 08:18:49,+3323.13,4.52578316666667,-73.7730328055556
2022:06:18 08:18:56,+3321.65,4.52585441666667,-73.7729698333333
2022:06:18 08:18:59,+3319.09,4.52599477777778,-73.7728496111111
2022:06:18 08:19:02,+3314.51,4.5261365,-73.7727260833333
2022:06:18 08:19:05,+3311.23,4.5262815,-73.7726007777778
2022:06:18 08:19:17,+3303.12,4.52630558333333,-73.7724175277778
2022:06:18 08:19:22,+3302.98,4.52623722222222,-73.7723352777778
2022:06:18 08:19:39,+3301.80,4.52618719444444,-73.7722613333333
2022:06:18 08:19:48,+3302.56,4.52611447222222,-73.7721045277778
2022:06:18 08:19:54,+3302.48,4.52609380555556,-73.7720181388889
2022:06:18 08:20:11,+3292.33,4.52599758333333,-73.7717481944444
2022:06:18 08:20:35,+3276.90,4.52584647222222,-73.7712800277778
2022:06:18 08:20:51,+3259.30,4.52577366666667,-73.7705596666667
2022:06:18 08:21:14,+3238.24,4.52603344444444,-73.7694319444444
2022:06:18 08:21:28,+3236.82,4.52611277777778,-73.7688740555556
2022:06:18 08:21:49,+3233.66,4.52639572222222,-73.76815925
2022:06:18 08:22:05,+3233.65,4.52690852777778,-73.7682549166667
2022:06:18 08:22:22,+3236.26,4.52693858333333,-73.7686395833333
2022:06:18 08:22:32,+3235.57,4.52710375,-73.7687434166667
2022:06:18 08:22:42,+3239.96,4.52714194444444,-73.7689274722222
2022:06:18 08:23:03,+3250.67,4.52752488888889,-73.7693478888889
2022:06:18 08:23:26,+3234.62,4.52788269444444,-73.7700905833333
2022:06:18 08:23:44,+3225.55,4.52839630555556,-73.7699711388889
2022:06:18 08:23:53,+3226.38,4.52852941666667,-73.7698156111111
2022:06:18 08:24:03,+3225.09,4.52875844444444,-73.77014075
2022:06:18 08:24:18,+3218.99,4.52934569444444,-73.7699623611111
2022:06:18 08:24:29,+3218.84,4.52970716666667,-73.7698593888889
2022:06:18 08:24:53,+3236.27,4.52919966666667,-73.7703704444444
2022:06:18 08:25:29,+3281.88,4.52685275,-73.77134
2022:06:18 08:25:36,+3279.82,4.52668094444444,-73.7712841111111
2022:06:18 08:25:46,+3275.36,4.52650372222222,-73.7713922777778
2022:06:18 08:25:58,+3278.54,4.52639630555556,-73.7715859166667
2022:06:18 08:26:12,+3277.76,4.52590186111111,-73.7715855277778
2022:06:18 08:26:24,+3265.34,4.52597838888889,-73.7710461111111
2022:06:18 08:26:40,+3243.36,4.52563916666667,-73.7702981388889
2022:06:18 08:26:56,+3238.65,4.525289,-73.7697995555556
2022:06:18 08:27:16,+3234.73,4.52568002777778,-73.7697816111111
2022:06:18 08:27:26,+3233.21,4.52590719444444,-73.7698195
2022:06:18 08:27:45,+3239.14,4.52562405555556,-73.770113
2022:06:18 08:28:00,+3244.87,4.525242,-73.7701455
2022:06:18 08:28:09,+3246.79,4.52511647222222,-73.7702293333333
2022:06:18 08:28:24,+3251.10,4.52504541666667,-73.7703702777778
2022:06:18 08:28:39,+3259.09,4.524948,-73.7707013333333
2022:06:18 08:28:51,+3268.40,4.52471030555556,-73.7709258611111
2022:06:18 08:29:01,+3274.87,4.52456297222222,-73.7710020277778
2022:06:18 08:29:13,+3272.67,4.52475133333333,-73.7712352777778
2022:06:18 08:29:24,+3272.75,4.52487205555556,-73.771666
2022:06:18 08:29:40,+3275.07,4.52518058333333,-73.7720309166667
2022:06:18 08:29:53,+3275.79,4.52549272222222,-73.7718904444444
2022:06:18 08:30:13,+3254.73,4.52510338888889,-73.7704143333333
2022:06:18 08:30:35,+3246.48,4.52662975,-73.76997625
2022:06:18 08:30:46,+3247.65,4.52684402777778,-73.7699208611111
2022:06:18 08:31:01,+3241.67,4.52692788888889,-73.7692968888889
2022:06:18 08:31:18,+3259.42,4.52716588888889,-73.7699117222222
2022:06:18 08:31:33,+3255.69,4.52735433333333,-73.7702248888889
2022:06:18 08:31:44,+3246.83,4.52783111111111,-73.7707289166667
2022:06:18 08:31:57,+3235.47,4.52821394444444,-73.771153944444407
2022:06:18 08:32:09,+3238.75,4.52849869444444,-73.7714495555555
2022:06:18 08:32:19,+3240.15,4.52831363888889,-73.7714255277778
2022:06:18 08:32:29,+3240.33,4.528019,-73.7714465833333
2022:06:18 08:32:43,+3255.17,4.52728136111111,-73.7716909444444
2022:06:18 08:32:55,+3288.20,4.52681413888889,-73.7718444444444
2022:06:18 08:33:11,+3294.27,4.52612741666667,-73.7726356111111
2022:06:18 08:33:24,+3319.39,4.52572425,-73.77305825
2022:06:18 08:33:36,+3325.92,4.52558191666667,-73.7731953333333
2022:06:18 08:33:59,+3333.14,4.52545472222222,-73.7733678055556
