Id,Latitude,Longitude,NodeUTMx,NodeUTMy,,,,,,,,
3288000000,4.525,-73.77278,636146.393189332,500273.933442158,,,,,,,,
3775bf,4.52633,-73.77245,636182.759955434,500421.043038729,,,,,,,,
37a5e9,4.52773,-73.77207,636224.661191529,500575.901434583,,,,,,,,
3290ef,4.529,-73.77177,636257.710112433,500716.371784632,,,,,,,,
328840,4.52467,-73.77147,636291.806964015,500237.693699343,,,,,,,,
37774c,4.52603,-73.77114,636328.16790255,500388.120295094,,,,,,,,
376095,4.52733,-73.77081,636364.539867957,500531.91321444,,,,,,,,
37a200,4.52861,-73.7705,636398.696278941,500673.491184713,,,,,,,,
377905,4.52433,-73.77016,636437.222809124,500200.348560942,,,,,,,,
378a6d,4.52995,-73.77008,636445.046317429,500821.723639283,,,,,,,,
3774a7,4.52567,-73.76984,636472.477719452,500348.562164313,,,,,,,,
375f25,4.53143,-73.76965,636492.479402279,500985.43677928,,,,,,,,
3275dd,4.52694,-73.7695,636509.964661352,500489.040224434,,,,,,,,
37ab1a,4.53253,-73.76928,636533.326260707,501107.125015615,,,,,,,,
377bc2,4.52825,-73.7692,636543.00569239,500633.933307169,,,,,,,,
32820a,4.52397,-73.76886,636581.533043935,500160.790521199,,,,,,,,
37930f,4.52955,-73.76883,636583.81527691,500777.733999519,,,,,,,,
379611,4.52531,-73.76855,636615.678184905,500309.002371962,,,,,,,,
37a144,4.53079,-73.76843,636627.964566982,500914.906668446,,,,,,,,
328b9b,4.52661,-73.76825,636648.721077034,500452.78989964,,,,,,,,
377747,4.53203,-73.76807,636667.675454429,501052.071865683,,,,,,,,
37917d,4.52789,-73.76794,636682.877093345,500594.368114507,,,,,,,,
3798b0,4.52902,-73.76759,636721.499310506,500719.369562026,,,,,,,,
376e5f,4.52354,-73.76755,636726.966179449,500113.495217723,,,,,,,,
3785ce,4.53032,-73.76729,636754.541655,500863.157245217,,,,,,,,
3783b7,4.52472,-73.76727,636757.812465268,500244.011561677,,,,,,,,
375d74,4.53164,-73.767,636786.470504297,501009.154340981,,,,,,,,
377483,4.52601,-73.76694,636794.185730924,500386.69923687,,,,,,,,
376141,4.5273,-73.76665,636826.120576901,500529.379426253,,,,,,,,
37a807,4.52844,-73.7663,636864.740769677,500655.486617039,,,,,,,,
375f15,4.52305,-73.7663,636865.753438672,500059.55507823,,,,,,,,
376f25,4.52434,-73.76624,636872.168550274,500202.191924743,,,,,,,,
37a7f9,4.52976,-73.76605,636892.231405981,500801.476230791,,,,,,,,
37a447,4.53119,-73.7657,636930.796680413,500959.646644288,,,,,,,,
37a114,4.52547,-73.76564,636938.529842922,500327.240634209,,,,,,,,
3762cf,4.52671,-73.76534,636971.583462709,500464.39470541,,,,,,,,
377256,4.52258,-73.76505,637004.537180561,500007.826377266,,,,,,,,
376ced,4.52816,-73.76495,637014.583395675,500624.783946118,,,,,,,,
376eca,4.52367,-73.76482,637029.852243083,500128.382876578,,,,,,,,
377147,4.52919,-73.76471,637041.018844789,500738.708662764,,,,,,,,
37840a,4.52507,-73.76438,637078.409643452,500283.253432474,,,,,,,,
37714f,4.53056,-73.76434,637081.814317846,500890.249245672,,,,,,,,
37ab20,4.52628,-73.76413,637105.920931977,500417.081298498,,,,,,,,
378579,4.52753,-73.7638,637142.300994737,500555.34682493,,,,,,,,
377ae4,4.52875,-73.7635,637175.357858031,500690.289856733,,,,,,,,
3769cc,4.53014,-73.76311,637218.368482792,500844.045604257,,,,,,,,
imaginary1,4.53027,-73.77147,636290.759033337,500856.842134682,,,,,,,,
imaginary2,4.53154,-73.77117,636323.80795424,500997.312484731,,,,,,,,
imaginary3,4.53281,-73.77087,636356.856875144,501137.78283478,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,3290ef,4.529,-73.77177,636257.710112433,500716.371784632
,,,,,,,,37a5e9,4.52773,-73.77207,636224.661191529,500575.901434583
,,,,,,,,3290ef,4.529,-73.77177,636257.710112433,500716.371784632
,,,,,,,,,,,,
,,,,,,,,0.00127,0.000299999999996,33.0489209038205,140.47035004932,
